""
product_num,title,num_of_ratings,price,rating
""
80,"Apple iPhone 6 Plus, GSM Unlocked, 64GB - Space Gray (Certified Refurbished)",436,272.9,4.3
88,"Samsung Galaxy J2 Prime (16GB) 5.0"" 4G LTE GSM Dual SIM Factory Unlocked International Version, No Warranty G532M/DS (Gold)",436,109.0,4.3
95,"Apple iPhone 6 64 GB Unlocked, Gold",253,164.99,4.3
